127.0.0.1 - - [26/Oct/2021:09:30:00 +0900] "GET / HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:01 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:01 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:02 +0900] "GET /favicon.ico HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:07 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:12 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:17 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:22 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:27 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:32 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:37 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:42 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:47 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:52 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:30:57 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:02 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:04 +0900] "GET /guestbook/products.jsp HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:04 +0900] "GET /images/P1234.png HTTP/1.1" 200 419680
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:04 +0900] "GET /images/P1235.png HTTP/1.1" 200 409694
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:04 +0900] "GET /images/SHOE1.PNG HTTP/1.1" 200 261392
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:04 +0900] "GET /images/P1236.png HTTP/1.1" 200 520540
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:04 +0900] "GET /images/z%ED%94%8C%EB%A6%BD33.jpg HTTP/1.1" 200 15453
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:31:06 +0900] "GET /guestbook/product.jsp?id=P1234 HTTP/1.1" 200 2398
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:33:23 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:33:23 +0900] "GET /images/404.jfif HTTP/1.1" 200 14442
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:16:49 +0900] "GET /guestbook/addProduct.jsp HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:16:49 +0900] "GET /js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:16:50 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:16:51 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:16:52 +0900] "GET /guestbook/addProduct.jsp HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:16:54 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /images/P1234.png HTTP/1.1" 200 419680
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /favicon.ico HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /images/P1234.png HTTP/1.1" 200 419680
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:53 +0900] "GET /favicon.ico HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:55 +0900] "GET /guestbook/updateProduct.jsp?id=P1234 HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:58 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:17:58 +0900] "GET /guestbook/editproduct.jsp?edit=delete HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:18:14 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1530
